Instance,PartyOptimized,Strategy,MaxReps,TimeSec,Status,Models,ClingoReturnCode,RawOptValue
instance_001_m3n3k2_random.lp,0,default,1,0.010,OPTIMUM_FOUND,2,30,-1
instance_001_m3n3k2_random.lp,1,default,2,0.009,OPTIMUM_FOUND,1,30,-2
instance_002_m3n3k2_clustered.lp,0,default,2,0.010,OPTIMUM_FOUND,1,30,-2
instance_002_m3n3k2_clustered.lp,1,default,1,0.010,OPTIMUM_FOUND,2,30,-1
instance_003_m3n3k2_checkerboard.lp,0,default,2,0.010,OPTIMUM_FOUND,2,30,-2
instance_003_m3n3k2_checkerboard.lp,1,default,1,0.010,OPTIMUM_FOUND,1,30,-1
instance_004_m4n3k2_random.lp,0,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_004_m4n3k2_random.lp,1,default,2,0.010,OPTIMUM_FOUND,2,30,-2
instance_005_m4n3k2_clustered.lp,0,default,1,0.010,OPTIMUM_FOUND,2,30,-1
instance_005_m4n3k2_clustered.lp,1,default,2,0.010,OPTIMUM_FOUND,1,30,-2
instance_006_m4n3k2_clustered_v2.lp,0,default,1,0.011,OPTIMUM_FOUND,2,30,-1
instance_006_m4n3k2_clustered_v2.lp,1,default,2,0.010,OPTIMUM_FOUND,1,30,-2
instance_007_m4n3k2_checkerboard.lp,0,default,2,0.010,OPTIMUM_FOUND,2,30,-2
instance_007_m4n3k2_checkerboard.lp,1,default,1,0.012,OPTIMUM_FOUND,1,30,-1
instance_008_m4n4k3_random.lp,0,default,2,0.142,OPTIMUM_FOUND,3,30,-2
instance_008_m4n4k3_random.lp,1,default,3,0.011,OPTIMUM_FOUND,2,30,-3
instance_009_m4n4k3_clustered.lp,0,default,2,0.107,OPTIMUM_FOUND,2,30,-2
instance_009_m4n4k3_clustered.lp,1,default,3,0.011,OPTIMUM_FOUND,1,30,-3
instance_010_m4n4k3_checkerboard.lp,0,default,3,0.012,OPTIMUM_FOUND,2,30,-3
instance_010_m4n4k3_checkerboard.lp,1,default,2,0.246,OPTIMUM_FOUND,1,30,-2
instance_011_m5n4k3_random.lp,0,default,3,0.012,OPTIMUM_FOUND,1,30,-3
instance_011_m5n4k3_random.lp,1,default,2,0.018,OPTIMUM_FOUND,3,30,-2
instance_012_m5n4k3_clustered.lp,0,default,3,0.012,OPTIMUM_FOUND,1,30,-3
instance_012_m5n4k3_clustered.lp,1,default,2,0.028,OPTIMUM_FOUND,3,30,-2
